Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Round
QB,73,234,4.82,34.5,19,108.0,7.32,4.4,8
DT,77,318,5.19,31.0,33,108.0,7.85,4.4,2
OT,76,334,5.31,29.5,31,102.0,8.08,4.93,3
CB,69,202,4.67,34.0,11,120.0,7.07,4.03,8
WR,73,192,4.57,33.0,16,108.0,7.51,4.14,2
RB,70,227,4.57,37.5,24,119.0,7.32,4.22,4
OG,77,308,5.07,31.5,20,112.0,7.71,4.95,8
CB,72,199,4.54,34.5,16,113.0,7.21,4.27,3
WR,72,199,4.42,43.5,16,126.0,6.56,3.73,6
DE,77,254,4.93,28.5,20,114.0,7.93,4.55,8
CB,70,199,4.46,36.0,15,120.0,7.24,4.18,3
DE,75,290,4.87,34.5,25,111.0,7.37,4.36,7
DE,75,252,4.97,31.5,22,118.0,6.82,4.1,8
FB,71,242,4.59,32.0,20,115.0,7.08,4.19,4
OG,74,290,5.28,31.5,28,111.0,7.59,4.44,5
QB,74,226,4.87,35.5,19,106.0,7.33,4.27,8
OG,75,313,5.33,30.0,37,105.0,8.0,4.73,5
OT,77,311,5.29,29.0,26,105.04,7.84,4.49,2
ILB,72,251,4.77,35.0,22,111.0,7.37,4.44,7
C,75,299,5.56,26.5,17,92.0,8.59,4.99,8
TE,74,275,4.99,30.0,23,106.0,7.49,4.26,4
WR,74,209,4.51,41.0,17,129.0,7.06,3.99,4
FB,73,259,5.31,30.0,7,105.0,8.1,4.58,8
WR,70,191,4.48,36.5,15,112.0,7.17,4.18,7
S,71,197,4.62,38.0,10,117.0,7.36,4.1,7
OT,78,328,5.33,33.0,20,104.0,7.87,4.8,3
QB,74,207,4.57,37.5,17,124.0,7.12,4.12,5
TE,77,256,4.85,34.0,20,113.0,7.14,4.15,3
QB,72,205,4.61,35.0,17,110.0,7.4,4.51,8
WR,72,180,4.51,34.5,14,116.0,7.12,4.15,8
WR,73,171,4.57,37.5,14,115.0,7.06,4.07,3
RB,70,197,4.44,32.0,9,115.0,6.98,4.2,3
DE,77,258,5.03,38.0,21,116.0,7.5,4.4,7
WR,71,185,4.46,39.5,15,120.0,6.95,4.06,1
DT,75,342,5.04,28.5,29,99.0,8.06,4.73,6
CB,71,193,4.56,37.5,10,119.0,7.06,4.2,8
ILB,74,248,4.76,32.7,24,114.02,7.1,4.31,5
CB,70,190,4.65,37.0,13,120.0,7.21,4.16,6
TE,74,251,4.95,27.0,20,98.0,7.78,4.59,8
WR,73,190,4.59,36.0,15,119.0,7.18,4.19,8
S,74,223,4.95,31.5,5,112.0,7.09,4.29,8
WR,70,195,4.53,37.0,16,117.0,6.86,3.98,6
OG,75,293,5.57,35.5,29,113.0,7.66,4.18,4
OG,76,305,5.16,35.0,25,107.0,8.08,4.72,7
FB,73,250,4.63,31.0,37,114.0,7.56,4.5,4
TE,76,252,5.02,32.0,16,113.0,7.4,4.31,6
C,73,316,5.27,32.5,24,103.0,7.87,4.61,5
QB,74,231,4.78,35.5,19,112.0,7.13,4.29,4
DE,74,272,5.01,30.5,22,112.0,7.52,4.43,8
C,76,300,5.36,28.0,25,92.0,8.1,4.56,7
OLB,72,257,4.91,32.5,22,106.0,7.37,4.53,5
WR,73,198,4.79,32.5,16,112.0,7.26,4.22,8
TE,76,257,4.99,31.0,20,102.0,7.65,4.45,8
C,74,307,5.13,33.0,29,108.0,7.55,4.35,2
OG,76,317,5.47,27.0,31,97.0,7.85,4.8,8
OG,75,296,5.5,27.0,32,92.0,8.17,4.77,8
QB,75,223,4.73,31.5,18,115.0,7.37,4.2,8
TE,76,247,4.84,32.5,7,113.0,7.04,4.25,8
TE,76,256,4.75,34.5,16,117.0,7.28,4.4,7
OG,75,308,5.24,30.0,19,106.0,8.06,4.58,5
QB,76,228,4.74,34.0,19,107.0,7.07,4.29,4
DT,77,294,5.06,31.0,29,105.0,7.81,4.59,8
DT,72,295,4.95,31.5,27,101.0,7.45,4.3,8
DE,76,263,4.75,38.0,22,119.0,7.16,4.03,2
CB,71,208,4.65,30.0,17,113.0,7.52,4.18,6
DE,78,281,4.86,35.5,23,107.0,7.67,4.37,4
RB,71,222,4.71,32.5,18,115.0,7.16,4.31,8
OT,79,348,5.43,31.5,19,99.0,7.81,4.66,5
DT,75,287,5.28,29.5,24,97.0,7.65,4.52,8
CB,70,212,4.51,33.5,15,114.0,7.1,4.27,3
DE,76,267,4.64,34.0,26,117.0,7.4,4.48,1
DT,75,299,5.24,30.0,25,100.0,8.0,4.8,3
OG,74,293,5.33,30.0,21,98.0,7.66,4.62,8
WR,69,184,4.41,38.5,15,121.0,7.44,4.25,3
ILB,74,245,4.75,35.5,33,110.0,7.3,4.15,4
OLB,75,232,4.62,33.0,19,119.0,7.15,4.5,4
TE,76,251,4.92,28.5,17,106.0,7.46,4.3,8
DT,75,309,4.9,33.0,26,110.0,7.75,4.72,6
TE,77,256,4.96,35.5,21,109.0,7.3,4.4,5
CB,71,191,4.51,41.0,17,127.0,6.9,4.16,2
DT,78,321,5.13,30.0,21,110.0,8.07,4.72,1
OG,77,315,5.6,28.0,22,96.0,8.06,4.75,8
OT,77,338,5.32,30.5,28,98.0,8.36,4.8,5
DE,76,269,4.91,33.0,28,111.0,7.65,4.4,7
WR,71,183,4.4,35.5,15,115.0,6.81,3.93,7
CB,69,189,4.64,36.0,15,118.0,7.42,4.24,8
OT,77,336,5.52,25.0,19,92.0,8.6,4.9,8
RB,74,229,4.58,32.5,20,115.0,7.48,4.44,2
RB,70,221,4.46,40.5,18,124.0,6.84,4.21,1
DE,78,260,4.78,33.5,22,120.0,7.06,4.32,2
OG,75,307,5.42,27.0,20,96.0,8.34,4.68,8
QB,73,223,4.71,35.5,18,115.0,7.36,4.35,2
OG,75,299,5.32,33.5,18,98.0,7.9,4.53,8
OT,78,303,5.28,34.0,26,103.0,8.08,4.59,8
OG,77,328,5.61,32.5,23,94.0,7.88,4.77,8
DE,79,287,5.09,29.0,26,108.0,7.49,4.64,8
OT,77,311,5.17,31.5,24,109.0,7.7,4.6,1
CB,71,176,4.51,39.0,14,124.0,6.78,4.18,5
OG,76,321,5.23,32.5,26,99.0,7.98,4.9,6
DE,74,253,4.73,32.4,21,113.14,7.53,4.46,8
OLB,72,236,4.63,36.5,21,115.0,7.47,4.21,3
S,72,219,4.68,34.5,16,111.0,7.26,4.29,8
RB,72,228,4.58,37.5,17,114.0,7.48,4.4,8
CB,70,193,4.73,39.0,9,118.0,7.04,4.4,8
TE,76,237,4.72,35.5,20,119.0,7.1,4.33,8
CB,70,183,4.46,42.5,11,130.0,6.7,4.21,3
CB,70,188,4.58,36.0,15,120.0,7.12,4.15,6
OG,76,299,5.48,28.5,25,103.0,7.86,4.67,7
WR,77,230,4.56,41.0,19,130.0,7.37,4.2,8
OG,76,345,5.51,29.5,23,97.0,8.78,4.96,8
DT,73,310,5.18,30.0,23,103.0,7.5,4.61,4
DE,75,285,4.97,28.0,24,103.0,7.71,4.47,6
RB,72,219,4.58,36.5,15,120.0,6.97,4.31,8
OG,76,299,5.38,29.5,25,102.0,7.9,4.73,8
FB,72,241,4.59,38.0,17,126.0,7.06,4.49,8
RB,69,209,4.46,33.0,19,112.0,6.9,4.08,6
OLB,75,240,4.62,38.0,24,126.0,7.59,4.21,3
OT,78,327,5.5,29.0,26,104.0,7.99,4.8,6
RB,70,211,4.56,33.5,27,112.0,6.93,4.02,8
S,71,213,4.5,39.5,18,127.0,7.08,4.27,3
OLB,74,257,4.81,35.0,26,121.0,7.0,4.12,3
TE,75,258,4.81,35.0,18,112.0,6.95,4.45,3
C,74,301,5.41,29.0,27,94.0,7.87,4.73,8
DT,74,313,5.18,26.5,24,93.0,7.47,4.64,6
DT,75,300,5.0,29.0,24,99.0,7.31,4.24,5
OG,76,325,5.34,28.5,24,108.0,8.34,4.73,8
FB,72,246,4.68,38.0,35,119.0,6.85,4.09,8
CB,68,186,4.44,39.0,10,118.0,6.93,4.16,3
FB,73,245,4.7,32.5,23,116.0,7.1,4.27,5
DT,77,303,5.15,31.5,27,104.0,7.75,4.6,7
OLB,72,243,4.68,39.0,23,120.0,6.71,3.83,4
C,74,299,5.19,25.5,25,103.0,7.85,4.54,2
DT,75,294,4.96,33.0,30,108.0,7.43,4.41,5
RB,70,220,4.62,38.0,23,116.0,7.06,4.06,2
S,75,216,4.61,36.0,18,130.0,6.93,4.1,4
